ID,Ontologies,Visualization,Task_Success,Time_On_Task,Fixations
p1,1,1,0.608695652,26,258.9
p1,2,2,0.52173913,38,238.1
p3,1,1,0.47826087,10,618.4
p3,2,2,0.391304348,50,1035.4
p5,1,1,0.52173913,22,416
p5,2,2,0.434782609,27,275.5
p7,1,1,0.565217391,16,542.7
p7,2,2,0.086956522,20,455.1
p11,1,1,0.47826087,15,185.8
p11,2,2,0.347826087,33,293.8
p13,1,1,0.434782609,35,860.5
p13,2,2,0.391304348,27,670.1
p15,1,1,0.52173913,9,236.6
p15,2,2,0.565217391,13,225.4
p17,1,1,0.434782609,14,465.2
p17,2,2,0.608695652,22,697
p19,1,1,0.565217391,14,0
p19,2,2,0.434782609,72,896.2
p21,1,1,0.434782609,16,0
p21,2,2,0.565217391,6,446.7
p23,1,1,0.565217391,13,0
p23,2,2,0.391304348,58,800.6
p25,1,1,0.565217391,34,0
p25,2,2,0.347826087,39,823.2
p27,1,1,0.260869565,13,0
p27,2,2,0.086956522,50,647.4
p31,1,1,0.391304348,14,0
p31,2,2,0.52173913,44,333.6
p33,1,1,0.47826087,22,0
p33,2,2,0.347826087,27,243.8
p35,1,1,0.608695652,9,0
p35,2,2,0.47826087,37,508.6
p2,1,2,0.347826087,19,0
p2,2,1,0.391304348,25,293.8
p4,1,2,0.391304348,12,0
p4,2,1,0.52173913,9,171.8
p6,1,2,0.869565217,26,0
p6,2,1,0.739130435,43,544.7
p10,1,2,0.608695652,17,0
p10,2,1,0.47826087,29,549.9
p12,1,2,0.304347826,17,0
p12,2,1,0.695652174,11,260.5
p14,1,2,0.52173913,15,0
p14,2,1,0.217391304,28,967.4
p16,1,2,0.52173913,28,0
p16,2,1,0.47826087,29,1039.1
p18,1,2,0.739130435,21,0
p18,2,1,0.565217391,27,408.8
p20,1,2,0.391304348,30,0
p20,2,1,0.434782609,23,662.2
p24,1,2,0.565217391,32,0
p24,2,1,0.739130435,25,206.4
p28,1,2,0.52173913,10,281.3
p28,2,1,0.52173913,13,349.8
p30,1,2,0.391304348,23,0
p30,2,1,0.47826087,32,808.1
p32,1,2,0.304347826,21,0
p32,2,1,0.347826087,12,642.9
p34,1,2,0.608695652,38,0
p34,2,1,0.565217391,49,604.7
p36,1,2,0.434782609,21,0
p36,2,1,0.52173913,15,731.4
